"itemA","itemB","theor1_Mind-Body-Action","theor2_PerCog-OdActSpAct-BodyStimBodynoStim","theor3_Physical-Ethereal","theor4_cosine_similarity"
"take a walk","feel scared",1,1,0,0.767855650085964
"get tired","feel scared",0,1,0,0.635009138881326
"become hungry","feel scared",0,1,0,0.611431308668921
"experience pain","feel scared",0,0,0,0.629385365566582
"get sick","feel scared",0,1,0,0.631028819476328
"see something","experience pain",1,1,1,0.893520233795809
"hear something","experience pain",1,1,1,0.936809040920023
"choose what to do","experience pain",1,1,1,0.878285279874794
"remember something","experience pain",1,1,1,0.932893877312724
"think about something","experience pain",1,1,1,0.964361644738518
"reach for something","experience pain",1,1,0,0.991288224885723
"sit down","experience pain",1,1,0,0.794568190402348
"jump up and down","experience pain",1,1,0,0.883451627798792
"kick something","experience pain",1,1,0,0.895520972726819
"take a walk","experience pain",1,1,0,0.859388647088254
"get tired","experience pain",0,1,0,0.814402483908805
"become hungry","experience pain",0,1,0,0.79464293576112
"feel scared","experience pain",0,0,0,0.629385365566582
"get sick","experience pain",0,1,0,0.771509416900026
"see something","get sick",1,1,1,0.818378393935165
"hear something","get sick",1,1,1,0.819741651150714
"choose what to do","get sick",1,1,1,0.714226688788555
"remember something","get sick",1,1,1,0.863626849823564
"think about something","get sick",1,1,1,0.855237941560395
"reach for something","get sick",1,1,0,0.73712083667071
"sit down","get sick",1,1,0,0.525626028175823
"jump up and down","get sick",1,1,0,0.6251476357058
"kick something","get sick",1,1,0,0.7008816873471
"take a walk","get sick",1,1,0,0.534642378621546
"get tired","get sick",0,0,0,0.4638918419385
"become hungry","get sick",0,0,0,0.631024658665151
"feel scared","get sick",0,1,0,0.631028819476328
"experience pain","get sick",0,1,0,0.771509416900026
